"Type","Time","MeerkatID","Behavior","Neighbours <1m","UnID","Event type","Emmiter","Timing","Note"
"Scan","05/08/2019 11:09:01","MB","Foraging","","","","","",""
"Event","05/08/2019 11:09:29","","","","","Alarm running","Ukn","Already started",""
"Scan","05/08/2019 11:09:56","RS","Bipedal vig","MB","","","","","MB anal mark him"
"Event","05/08/2019 11:10:37","","","","","Alarm running","Ukn","Already stopped",""
"Scan","05/08/2019 11:11:02","LS","Scrabling","","","","","",""
"Scan","05/08/2019 11:11:10","H","Foraging","H + RT","","","","",""
"Scan","05/08/2019 11:11:17","H + RT","Foraging","H","","","","",""
"Scan","05/08/2019 11:11:40","RT","Scrabling","LT + TBL","","","","",""
"Scan","05/08/2019 11:12:06","RS","Scrabling","","","","","",""
"Scan","05/08/2019 11:12:13","MB","Foraging","","","","","",""
"Scan","05/08/2019 11:13:28","LT","Foraging","RR + TBL, RS + TBL","","","","",""
"Scan","05/08/2019 11:13:39","RS + TBL","Foraging","LT","","","","",""
"Scan","05/08/2019 11:14:19","LT","Scrabling","","","","","",""
"Scan","05/08/2019 11:14:29","RS + TBL","Foraging","","","","","",""
"Scan","05/08/2019 11:16:29","LS","Foraging","H + RT","","","","",""
"Scan","05/08/2019 11:16:38","H + RT","Foraging","LS","","","","",""
"Scan","05/08/2019 11:16:54","RT","Foraging","","","","","",""
"Scan","05/08/2019 11:17:16","RS","Scrabling","","","","","",""
"Scan","05/08/2019 11:17:32","H","Foraging","LT + TBL","","","","",""
"Scan","05/08/2019 11:17:57","MB","Foraging","","","","","",""
"Scan","05/08/2019 11:19:38","LT","Scrabling","H  + MB + TB","","","","",""
"Scan","05/08/2019 11:19:55","RS + TBL","Scrabling","","","","","",""
"Scan","05/08/2019 11:20:07","LT","Scrabling","H  + MB + TB","","","","",""
"Scan","05/08/2019 11:20:18","RS + TBL","Foraging","","","","","",""
"Scan","05/08/2019 11:21:55","RT","Foraging","H + TBL, H","","","","",""
"Scan","05/08/2019 11:22:16","H","Bipedal vig","RT, RS","","","","",""
"Scan","05/08/2019 11:22:32","RS","Foraging","H","","","","",""
"Scan","05/08/2019 11:22:55","MB","Scrabling","","","","","",""
"Scan","05/08/2019 11:23:33","LS","Scrabling","","","","","",""
"Scan","05/08/2019 11:24:09","LT","Other","","","","","","sniffing bolthole "
"Event","05/08/2019 11:24:32","","","","","Alarm running","Ukn","Start","H "
"Event","05/08/2019 11:25:16","","","","","Alarm running","Ukn","Already stopped","H"
"Scan","05/08/2019 11:25:42","MB","Foraging","","","","","",""
"Scan","05/08/2019 11:25:54","RT","Scrabling","","","","","",""
"Scan","05/08/2019 11:26:10","RS + TBL","Scrabling","H + LT","","","","",""
"Scan","05/08/2019 11:26:27","H","Scrabling","","","","","",""
"Scan","05/08/2019 11:26:42","H + RT","Foraging","","","","","",""
"Scan","05/08/2019 11:26:58","RS","Scrabling","","","","","",""
"Scan","05/08/2019 11:27:17","LS","Foraging","","","","","",""
"Scan","05/08/2019 11:27:34","H","Scrabling","","","","","",""
"Scan","05/08/2019 11:27:40","RT","Foraging","H + LT","","","","",""
"Scan","05/08/2019 11:27:56","RS + TBL","Scrabling","","","","","",""
"Scan","05/08/2019 11:28:10","MB","Eating","","","","","",""
"Scan","05/08/2019 11:29:05","RT","Scrabling","","","","","",""
"Scan","05/08/2019 11:30:28","RS","Foraging","LT","","","","",""
"Scan","05/08/2019 11:30:43","LT","Scrabling","RS","","","","",""
"Scan","05/08/2019 11:31:00","H","Scrabling","","","","","",""
"Scan","05/08/2019 11:31:18","LS","Running","","","","","",""
"Scan","05/08/2019 11:31:39","H + RT","Scrabling","","","","","",""
"Scan","05/08/2019 11:31:57","RS + TBL","Scrabling","","","","","",""
"Scan","05/08/2019 11:32:47","RT","Foraging","RS, LS","","","","",""
"Scan","05/08/2019 11:33:02","LS","Scrabling","","","","","",""
"Scan","05/08/2019 11:33:16","RS","Scrabling","H + LT","","","","",""
"Scan","05/08/2019 11:33:31","H","Scrabling","","","","","",""
"Scan","05/08/2019 11:33:53","RT","Foraging","","","","","",""
"Scan","05/08/2019 11:34:37","H + RT","Foraging","","","","","",""
"Scan","05/08/2019 11:34:44","MB","Foraging","","","","","",""
"Scan","05/08/2019 11:36:13","RS","Foraging","","","","","",""
"Scan","05/08/2019 11:36:41","LS","Scrabling","","","","","",""
"Scan","05/08/2019 11:37:34","RS","Foraging","","","","","",""
"Scan","05/08/2019 11:37:47","H","Foraging","","","","","",""
"Event","05/08/2019 11:37:59","RS","","","","Alarm running","Ukn","Start",""
"Event","05/08/2019 11:38:42","","","","","Alarm running","Ukn","Already stopped",""
"Event","05/08/2019 11:38:52","","","","","Sentinel","Ukn","Already started","sh MB tbl 1m"
"Scan","05/08/2019 11:39:46","LT","Foraging","","","","","",""
"Scan","05/08/2019 11:40:07","MB","Scrabling","","","","","",""
"Scan","05/08/2019 11:40:17","RT","Scrabling","","","","","",""
"Scan","05/08/2019 11:41:05","RS + TBL","Scrabling","","","","","",""
"Scan","05/08/2019 11:41:28","LS","Scrabling","","","","","",""
"Scan","05/08/2019 11:41:52","H","Scrabling","","","","","",""
"Scan","05/08/2019 11:42:59","LT","Foraging","","","","","",""
"Scan","05/08/2019 11:43:17","H + RT","Scrabling","","","","","",""
"Scan","05/08/2019 11:44:17","RT","Scrabling","","","","","",""
"Scan","05/08/2019 11:44:32","RS + TBL","Scrabling","","","","","",""
"Scan","05/08/2019 11:44:48","LS","Scrabling","","","","","",""
"Scan","05/08/2019 11:45:04","H","Scrabling","","","","","",""
"Scan","05/08/2019 11:45:24","RS","Scrabling","","","","","",""
"Scan","05/08/2019 11:47:01","LT","Scrabling","","","","","",""
"Scan","05/08/2019 11:47:36","H + RT","Scrabling","RS + RT + TBL","","","","",""
"Scan","05/08/2019 11:48:29","MB","Eating","","","","","",""
"Scan","05/08/2019 11:48:40","LT","Scrabling","","","","","",""
"Scan","05/08/2019 11:48:48","RS","Foraging","","","","","",""
"Scan","05/08/2019 11:49:09","RS + TBL","Scrabling","","","","","",""
"Scan","05/08/2019 11:49:26","LT","Scrabling","","","","","",""
"Scan","05/08/2019 11:49:32","H","Scrabling","","","","","",""
"Scan","05/08/2019 11:49:43","LS","Scrabling","H + TB, RT","","","","",""
"Scan","05/08/2019 11:50:44","MB","Scrabling","","","","","",""
"Scan","05/08/2019 11:50:51","LS","Scrabling","RT","","","","",""
"Scan","05/08/2019 11:50:58","RT","Scrabling","LS, MB","","","","",""
"Scan","05/08/2019 11:51:20","RS + TBL","Scrabling","MB + LT","","","","",""
"Scan","05/08/2019 11:51:37","RS","Scrabling","","","","","",""
"Scan","05/08/2019 11:52:02","H","Scrabling","","","","","",""
"Scan","05/08/2019 11:52:29","LT","Bipedal vig","","","","","",""
"Event","05/08/2019 11:53:19","","","","","Sentinel","Ukn","Already stopped","sh MB tbl"
"Scan","05/08/2019 11:53:51","H","Running","","","","","",""
"Scan","05/08/2019 11:54:11","LT","Scrabling","","","","","",""
"Scan","05/08/2019 11:54:42","RS + TBL","Scrabling","","","","","",""
"Scan","05/08/2019 11:54:54","RT","Scrabling","","","","","",""
"Scan","05/08/2019 11:55:18","LS","Scrabling","MB + LT, H + TBL","","","","",""
"Scan","05/08/2019 11:55:44","MB","Scrabling","","","","","",""
"Scan","05/08/2019 11:56:37","LS","Eating","","","","","",""
"Scan","05/08/2019 11:56:48","RT","Scrabling","","","","","",""
"Scan","05/08/2019 11:57:46","LS","Scrabling","","","","","",""
"Scan","05/08/2019 11:58:02","RS","Scrabling","","","","","",""
"Event","05/08/2019 11:58:47","","","","","Sentinel","Ukn","Already started","sh MB tbl 2m"
"Scan","05/08/2019 11:59:45","RS","Scrabling","RT","","","","",""
"Scan","05/08/2019 12:00:01","RT","Eating","RS + RT + TBL","","","","",""
"Scan","05/08/2019 12:00:20","H","Scrabling","","","","","",""
"Scan","05/08/2019 12:00:38","RS","Eating","","","","","",""
