"Type","Time","MeerkatID","Behavior","Neighbours..1m","UnID","Event.type","Emmiter","Timing","Note"
"Scan","6/24/19 12:31:36","LT","Eating","LS + LT",NA,NA,NA,NA,""
"Scan","6/24/19 12:35:27","RS","Scrabling","MB + LS",NA,NA,NA,NA,""
"Scan","6/24/19 12:35:55","LS","Scrabling","",NA,NA,NA,NA,""
"Scan","6/24/19 12:36:31","MB + TB","Scrabling","",NA,NA,NA,NA,""
"Scan","6/24/19 12:37:15","MB + LS","Foraging","",NA,NA,NA,NA,""
"Scan","6/24/19 12:38:26","RT","Scrabling","",NA,NA,NA,NA,""
"Scan","6/24/19 12:40:04","TB","Scrabling","SH + TB, RS + TB",NA,NA,NA,NA,""
"Scan","6/24/19 12:40:47","LT","Scrabling","",NA,NA,NA,NA,""
"Scan","6/24/19 12:41:15","RS","Scrabling","",NA,NA,NA,NA,""
"Scan","6/24/19 12:41:25","LS","Scrabling","",NA,NA,NA,NA,""
"Scan","6/24/19 12:42:30","MB + TB","Scrabling","RT",NA,NA,NA,NA,""
"Scan","6/24/19 12:42:54","MB + LS","Foraging","MB + LT",NA,NA,NA,NA,""
"Scan","6/24/19 12:43:13","RT","Scrabling","MB + TB, LT",NA,NA,NA,NA,""
"Scan","6/24/19 12:44:25","TB","Scrabling","RS + TB",NA,NA,NA,NA,""
"Scan","6/24/19 12:45:20","LT","Scrabling","SH + TB",NA,NA,NA,NA,""
"Scan","6/24/19 12:46:29","RS","Scrabling","",NA,NA,NA,NA,""
"Scan","6/24/19 12:46:42","LS","Scrabling","",NA,NA,NA,NA,""
"Scan","6/24/19 12:48:14","MB + TB","Foraging","",NA,NA,NA,NA,""
"Scan","6/24/19 12:49:21","MB + LS","Scrabling","",NA,NA,NA,NA,""
"Scan","6/24/19 12:49:51","RT","Foraging","",NA,NA,NA,NA,""
"Scan","6/24/19 12:51:20","TB","Scrabling","RS",NA,NA,NA,NA,""
"Scan","6/24/19 12:51:30","RS","Scrabling","TB",NA,NA,NA,NA,""
"Scan","6/24/19 12:51:56","LS","Scrabling","LT + TB",NA,NA,NA,NA,""
"Scan","6/24/19 12:52:57","MB + TB","Moving","",NA,NA,NA,NA,""
"Scan","6/24/19 12:54:12","MB + LS","Scrabling","",NA,NA,NA,NA,""
"Scan","6/24/19 12:54:36","RT","Scrabling","",NA,NA,NA,NA,""
"Scan","6/24/19 12:55:00","TB","Foraging","",NA,NA,NA,NA,""
"Scan","6/24/19 12:55:13","LT","Foraging","",NA,NA,NA,NA,""
"Scan","6/24/19 12:55:23","RS","Moving","",NA,NA,NA,NA,""
"Scan","6/24/19 12:55:48","LS","Scrabling","",NA,NA,NA,NA,""
"Scan","6/24/19 12:56:16","MB + TB","Scrabling","",NA,NA,NA,NA,""
"Scan","6/24/19 12:56:33","MB + LS","Foraging","RS",NA,NA,NA,NA,""
"Scan","6/24/19 12:58:57","TB","Scrabling","",NA,NA,NA,NA,""
"Scan","6/24/19 12:59:19","LT","Scrabling","",NA,NA,NA,NA,""
"Scan","6/24/19 12:59:26","RS","Scrabling","",NA,NA,NA,NA,""
"Scan","6/24/19 13:00:07","LS","Scrabling","",NA,NA,NA,NA,""
